"feature","featureImportance","class","IsIndSp","prevalence","comparison","source","data","seed","prev_rate"
"Upeneus sundaicus",0,"OFFSHORE",0,20.8333333333333,"INSHORE_OFFSHORE","bininter","maxN","seed_02","prev_0"
"Upeneus tragula",0,"INSHORE",0,10.4166666666667,"INSHORE_OFFSHORE","bininter","maxN","seed_02","prev_0"
"Upeneus vittatus",0,"INSHORE",1,2.08333333333333,"INSHORE_OFFSHORE","bininter","maxN","seed_02","prev_0"
"Valenciennea longipinnis",0,"OFFSHORE",0,2.08333333333333,"INSHORE_OFFSHORE","bininter","maxN","seed_02","prev_0"
"Vanderhorstia ambanoro",0,"INSHORE",1,2.08333333333333,"INSHORE_OFFSHORE","bininter","maxN","seed_02","prev_0"
"Zebrasoma velifer",0,"OFFSHORE",0,2.08333333333333,"INSHORE_OFFSHORE","bininter","maxN","seed_02","prev_0"
"Abalistes stellatus",-2.318,"BAR",0,12.5,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Acanthurus blochii",1.302,"BAR",1,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Acanthurus mata",0,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Acanthurus nigricauda",1,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Acanthurus olivaceus",0,"BAR",1,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Acanthurus xanthopterus",0.875,"BAR",1,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Amblyeleotris steinitzi",1,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Amblygobius phalaena",6.184,"BAR",1,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Aprion virescens",0,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Atule mate",16.266,"BAY",1,28.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Balistoides viridescens",0,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Bodianus loxozonus",1,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Bodianus perditio",0.981,"BAR",1,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Canthigaster bennetti",1.25,"BAY",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Canthigaster valentini",3.321,"BAR",1,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Carangoides dinema",1.762,"BAY",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Carangoides fulvoguttatus",0,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Caranx ignobilis",0,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Centropyge tibicen",3.321,"BAR",1,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Chaetodon auriga",3.587,"BAR",1,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Chaetodon ephippium",0,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Chaetodon kleinii",4.921,"BAR",1,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Chaetodon melannotus",0,"BAR",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Chaetodon mertensii",1.867,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Chaetodon plebeius",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Cheilinus chlorourus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Cheilodipterus quinquelineatus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Choerodon graphicus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Chromis fumea",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Chromis viridis",0,"BAR",0,12.5,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Chrysiptera biocellata",0,"BAR",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Coris batuensis",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Coris dorsomacula",0,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Ctenochaetus striatus",0,"BAR",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Dascyllus aruanus",0,"BAR",0,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Dasyatis kuhlii",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Decapterus macarellus",1.333,"BAY",1,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Diagramma pictum",0,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Echeneis naucrates",0.25,"BAY",1,21.875,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Elops hawaiensis",1.533,"BAY",1,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Epinephelus areolatus",1.519,"BAY",1,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Epinephelus howlandi",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Epinephelus maculatus",0,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Epinephelus merra",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Gnathanodon speciosus",2.964,"BAY",1,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Gymnocranius grandoculis",0,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Halichoeres chrysus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Halichoeres trimaculatus",0,"BAR",0,43.75,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Hemigymnus melapterus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Labroides dimidiatus",0,"BAR",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Lagocephalus sceleratus",0,"BAY",0,25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Leiognathus fasciatus",1.905,"BAY",1,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Lethrinus atkinsoni",0,"BAR",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Lethrinus genivittatus",1.333,"BAY",0,50,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Lethrinus obsoletus",27.132,"BAY",1,34.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Lethrinus rubrioperculatus",0,"BAR",0,40.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Lethrinus variegatus",0,"BAR",0,34.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Lutjanus lutjanus",0,"BAY",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Lutjanus vitta",4.917,"BAY",1,12.5,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Macropharyngodon negrosensis",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Mulloidichthys flavolineatus",0,"BAR",0,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Naso annulatus",0,"BAR",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Naso brevirostris",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Nebrius ferrugineus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Nemipterus peronii",32.264,"BAY",1,40.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Oxycheilinus bimaculatus",0,"BAR",0,34.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Oxycheilinus nigromarginatus",0,"BAR",0,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Oxycheilinus unifasciatus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parapercis australis",0,"BAR",0,34.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parapercis clathrata",3.6,"BAY",1,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parapercis hexophtalma",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parapercis xanthozona",0,"BAY",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parupeneus barberinoides",0,"BAR",0,34.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parupeneus barberinus",0,"BAR",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parupeneus cyclostomus",0,"BAR",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parupeneus heptacanthus",0,"BAR",0,12.5,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parupeneus multifasciatus",0,"BAR",0,28.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parupeneus pleurostigma",0,"BAR",0,40.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Parupeneus spilurus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pentapodus caninus",0,"BAR",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pentapodus nagasakiensis",0,"BAR",0,34.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Plagiotremus rhinorhynchos",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Plagiotremus tapeinosoma",0,"BAR",0,12.5,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Plectropomus leopardus",0,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pomacanthus imperator",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pomacentrus coelestis",0,"BAR",0,18.75,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pomacentrus moluccensis",0,"BAR",0,12.5,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pomacentrus nagasakiensis",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pristotis obtusirostris",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pseudalutarius nasicornis",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pseudobalistes flavimarginatus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pseudobalistes fuscus",0,"BAR",0,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pseudocaranx dentex",0,"BAY",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pseudojuloides cerasinus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Ptereleotris microlepis",0,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Pterocaesio trilineata",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Rhinecanthus aculeatus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Rhynchobatus Djiddensis",0,"BAY",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Scarus chameleon",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Scarus ghobban",0,"BAR",0,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Scarus longipinnis",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Scarus psittacus",0,"BAR",0,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Scarus schlegeli",0,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Scolopsis lineata",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Scomberoides tol",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Scomberomorus commerson",0,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Siganus doliatus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Siganus punctatus",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Stegastes nigricans",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Stethojulis interrupta",0,"BAR",0,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Stethojulis strigiventer",0,"BAR",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Sufflamen chrysopterum",0,"BAR",0,18.75,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Sufflamen fraenatum",0,"BAR",0,9.375,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Synodus variegatus",0,"BAY",0,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Thalassoma lunare",0,"BAR",0,37.5,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Upeneus sundaicus",0,"BAR",0,15.625,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Upeneus tragula",0,"BAY",0,6.25,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Valenciennea longipinnis",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Vanderhorstia ambanoro",0,"BAY",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Zebrasoma velifer",0,"BAR",0,3.125,"BAR_BAY","terinter","pres/abs","seed_02","prev_0"
"Abalistes stellatus",0,"LAG",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Acanthurus blochii",0.444,"BAR",1,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Acanthurus mata",0,"BAR",1,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Acanthurus nigricauda",0,"BAR",1,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Acanthurus olivaceus",0,"BAR",1,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Acanthurus xanthopterus",3,"BAR",1,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Acreichthys tomentosus",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Aetobatus narinari",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Amblyeleotris steinitzi",0,"BAR",1,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Amblygobius phalaena",9.917,"BAR",1,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Amblygobius sphynx",0,"LAG",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Aprion virescens",-2.333,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Arothron stellatus",1.537,"LAG",1,12.5,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Atule mate",1.579,"LAG",1,12.5,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Balistoides viridescens",0,"BAR",1,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Bodianus loxozonus",0,"BAR",1,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Bodianus perditio",0.667,"BAR",1,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Canthigaster valentini",1.667,"BAR",1,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Carangoides dinema",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Carangoides fulvoguttatus",-2.222,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Caranx ignobilis",0,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Carcharhinus leucas",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Centropyge tibicen",2.111,"BAR",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Chaetodon auriga",3.028,"BAR",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Chaetodon ephippium",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Chaetodon kleinii",4.694,"BAR",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Chaetodon melannotus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Chaetodon mertensii",2.111,"BAR",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Chaetodon plebeius",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Cheilinus chlorourus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Cheilodipterus quinquelineatus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Choerodon graphicus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Chromis fumea",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Chromis viridis",0,"BAR",0,12.5,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Chrysiptera biocellata",0,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Coris batuensis",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Coris caudimacula",0,"LAG",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Coris dorsomacula",0,"BAR",0,12.5,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Ctenochaetus striatus",0,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Dascyllus aruanus",0,"BAR",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Dasyatis kuhlii",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Decapterus macarellus",5.919,"LAG",1,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Diagramma pictum",0,"BAR",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Echeneis naucrates",0,"LAG",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Epinephelus howlandi",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Epinephelus maculatus",0,"BAR",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Epinephelus malabaricus",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Epinephelus merra",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Galeocerdo cuvier",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Gymnocranius grandoculis",0,"BAR",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Halichoeres chrysus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Halichoeres trimaculatus",4.75,"BAR",0,40.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Hemigymnus melapterus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Himantura fai",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Labroides dimidiatus",0,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Lagocephalus sceleratus",0,"LAG",0,21.875,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Lethrinus atkinsoni",0,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Lethrinus genivittatus",1.69,"LAG",0,56.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Lethrinus obsoletus",0,"LAG",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Lethrinus olivaceus",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Lethrinus rubrioperculatus",0,"BAR",0,43.75,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Lethrinus variegatus",4.75,"BAR",0,34.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Lutjanus vitta",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Macropharyngodon negrosensis",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Mulloidichthys flavolineatus",0,"BAR",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Naso annulatus",0,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Naso brevirostris",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Nebrius ferrugineus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Nemipterus peronii",28.522,"LAG",1,43.75,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Oplopomus oplopomus",0,"LAG",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Oxycheilinus bimaculatus",0,"BAR",0,37.5,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Oxycheilinus nigromarginatus",0,"BAR",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Oxycheilinus unifasciatus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Parapercis australis",4.75,"BAR",0,34.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Parapercis hexophtalma",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Parupeneus barberinoides",5.25,"BAR",0,34.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Parupeneus barberinus",0,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Parupeneus cyclostomus",0,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Parupeneus heptacanthus",0,"BAR",0,12.5,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Parupeneus multifasciatus",0,"BAR",0,28.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Parupeneus pleurostigma",4.75,"BAR",0,40.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Parupeneus spilurus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pentapodus caninus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pentapodus nagasakiensis",0,"BAR",0,62.5,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Plagiotremus rhinorhynchos",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Plagiotremus tapeinosoma",0,"BAR",0,12.5,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Plectropomus leopardus",0,"BAR",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pomacanthus imperator",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pomacentrus coelestis",0,"BAR",0,18.75,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pomacentrus moluccensis",0,"BAR",0,12.5,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pomacentrus nagasakiensis",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pristotis obtusirostris",0,"LAG",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pseudalutarius nasicornis",0,"LAG",0,28.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pseudobalistes flavimarginatus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pseudobalistes fuscus",0,"BAR",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pseudocaranx dentex",0,"LAG",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pseudojuloides cerasinus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Ptereleotris microlepis",0,"BAR",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Pterocaesio trilineata",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Rhinecanthus aculeatus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Scarus chameleon",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Scarus ghobban",0,"BAR",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Scarus longipinnis",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Scarus psittacus",0,"BAR",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Scarus schlegeli",0,"BAR",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Scolopsis lineata",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Scomberoides tol",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Scomberomorus commerson",0,"BAR",0,18.75,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Siganus doliatus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Siganus punctatus",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Stegastes nigricans",0,"BAR",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Stethojulis interrupta",0,"BAR",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Stethojulis strigiventer",0,"BAR",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Sufflamen chrysopterum",0,"BAR",0,18.75,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Sufflamen fraenatum",0,"BAR",0,9.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Synodus dermatogenys",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Synodus variegatus",0,"LAG",0,21.875,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Taeniura meyeni",0,"LAG",0,3.125,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Thalassoma lunare",0,"BAR",0,34.375,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Upeneus moluccensis",0,"LAG",0,15.625,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Upeneus sundaicus",0,"LAG",0,21.875,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Upeneus tragula",0,"LAG",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
"Upeneus vittatus",0,"LAG",0,6.25,"BAR_LAG","terinter","pres/abs","seed_02","prev_0"
